Year,Month,Range,Storage (%)
2022,June,Kurunegala,83
2022,June,Monaragala,50
2022,June,Polonnaruwa,76
2022,June,Puttalam,65
2022,June,Trincomalee,67
2022,June,Mannar,69
2022,July,Ampara,25
2022,July,Anuradhapura,60
2022,July,Badulla,43
2022,July,Batticalo,43
2022,July,Hambantota,48
2022,July,Galle,99
2022,July,Kandy,64
2022,July,Kurunegala,64
2022,July,Monaragala,41
2022,July,Polonnaruwa,65
2022,July,Puttalam,50
2022,July,Trincomalee,54
2022,July,Mannar,56
2022,August,Ampara,21
2022,August,Anuradhapura,52
2022,August,Badulla,44
2022,August,Batticalo,32
2022,August,Hambantota,47
2022,August,Galle,98
2022,August,Kandy,67
2022,August,Kurunegala,71
2022,August,Monaragala,38
2022,August,Polonnaruwa,68
2022,August,Puttalam,42
2022,August,Trincomalee,41
2022,August,Mannar,51
2022,September,Ampara,20
2022,September,Anuradhapura,47
2022,September,Badulla,41
2022,September,Batticalo,31
2022,September,Hambantota,40
2022,September,Galle,92
2022,September,Kandy,71
2022,September,Kurunegala,78
2022,September,Monaragala,37
2022,September,Polonnaruwa,54
2022,September,Puttalam,36
2022,September,Trincomalee,31
2022,September,Mannar,39
2022,October,Ampara,18
2022,October,Anuradhapura,45
2022,October,Badulla,42
2022,October,Batticalo,27
2022,October,Hambantota,33
2022,October,Galle,90
2022,October,Kandy,75
2022,October,Kurunegala,69
2022,October,Monaragala,36
2022,October,Polonnaruwa,55
2022,October,Puttalam,34
2022,October,Trincomalee,29
2022,October,Mannar,32
2022,November,Ampara,33
2022,November,Anuradhapura,48
2022,November,Badulla,46
2022,November,Batticaloa,50
2022,November,Hambantota,50
2022,November,Galle,95
2022,November,Kandy,83
2022,November,Kurunegala,73
2022,November,Monaragala,58
2022,November,Polonnaruwa,63
2022,November,Puttalam,35
2022,November,Trincomalee,43
2022,November,Mannar,51
2022,December,Ampara,34.9
2022,December,Anuradhapura,52.6
2022,December,Badulla,57.4
2022,December,Batticaloa,62.9
2022,December,Hambantota,70.4
2022,December,Galle,100
2022,December,Kandy,82.9
2022,December,Kurunegala,74.6
2022,December,Monaragala,66
2022,December,Polonnaruwa,58.7
2022,December,Puttalam,40.4
2022,December,Trincomalee,41.7
2022,December,Mannar,58.2
